X,Y,geo_x_MTM,geo_y_MTM,geo_spatialRef_wkid,Facility_Group,BN,BN_FR,ADDRESS,ADDRESS_FR,Open_Seasonally,Season_Start_Date,Season_End_Date,Open_Hours_Sunday,Closed_Hours_Sunday,Special_Hours_Sunday,Open_Hours_Monday,Closed_Hours_Monday,Special_Hours_Monday,Open_Hours_Tuesday,Closed_Hours_Tuesday,Special_Hours_Tuesday,Open_Hours_Wednesday,Closed_Hours_Wednesday,Special_Hours_Wednesday,Open_Hours_Thursday,Closed_Hours_Thursday,Special_Hours_Thursday,Open_Hours_Friday,Closed_Hours_Friday,Special_Hours_Friday,Open_Hours_Saturday,Closed_Hours_Saturday,Special_Hours_Saturday,Phone_number_to_report_issues,X_COORDINATE,Y_COORDINATE,JURISDICTION,interior,seasonal,FID
-75.67762756,45.42273331,-8424395,5688320,102100,RECREATION,Sandy Hill Community Centre,Centre Communautaire de C“te-de-Sable,250 SOMERSET ST    E,"250, RUE SOMERSET E.",Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 12:30:00 PM,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 5:00:00 PM,closed July and August,311,-75.67762756,45.42273331,OTTAWA,y,n,39
-75.6818161,45.39467239,-8424861,5683870,102100,RECREATION,Ottawa South Community Centre,Centre Communautaire d'Ottawa-Sud,260 SUNNYSIDE AVE,"260, PROM. SUNNYSIDE",Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 5:00:00 AM,"9:00am -1:00 July & August , closed on holidays",12/31/1899 6:30:00 AM,12/31/1899 9:00:00 AM,closed on statutory holidays,12/31/1899 6:30:00 AM,12/31/1899 9:00:00 PM,closed on statutory holidays,12/31/1899 6:30:00 AM,12/31/1899 9:00:00 PM,closed on statutory holidays,12/31/1899 6:30:00 AM,12/31/1899 9:00:00 PM,closed on statutory holidays,12/31/1899 6:30:00 AM,12/31/1899 6:00:00 PM,closed on staturoty holidays,12/31/1899 8:00:00 AM,12/31/1899 5:00:00 PM,9:00 am-1:00 pm July & August closed on holidays,311,-75.6818161,45.39467239,OTTAWA,y,n,40
-75.46839142,45.22990799,-8401103,5657789,102100,RECREATION,Metcalfe CC & Larry Robinson Arena,Centre communautaire Metcalfe et Ar‚na Larry-Robinson,2785 8TH LINE RD,"2785, CH. 8TH LINE",Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,12/31/1899 8:00:00 AM,12/31/1899 10:00:00 PM,April-Sept only open when booked,12/31/1899 8:00:00 AM,12/31/1899 10:00:00 PM,April-Sept only open when booked,12/31/1899 8:00:00 AM,12/31/1899 10:00:00 PM,April-Sept only open when booked,12/31/1899 8:00:00 AM,12/31/1899 10:00:00 PM,April-Sept only open when booked,12/31/1899 8:00:00 AM,12/31/1899 10:00:00 PM,April-Sept only open when booked,12/31/1899 8:00:00 AM,12/31/1899 10:00:00 PM,April-Sept only open when booked,12/31/1899 8:00:00 AM,12/31/1899 10:00:00 PM,April-Sept only open when booked,311,-75.46839142,45.22990799,OTTAWA,y,n,41
-75.47797394,45.45321274,-8402170,5693155,102100,RECREATION,Aquaview Community Hall,Salle Communautaire Aquaview,318 AQUAVIEW DR,"318, PROM. AQUAVIEW",Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,Not Applicable/Non applicable,Not Applicable/Non applicable,Not Applicable/Non applicable,12/31/1899 8:30:00 AM,12/31/1899 8:00:00 PM,Not Applicable/Non applicable,12/31/1899 8:30:00 AM,12/31/1899 6:00:00 PM,Not Applicable/Non applicable,12/31/1899 8:30:00 AM,12/31/1899 6:00:00 PM,Not Applicable/Non applicable,12/31/1899 8:30:00 AM,12/31/1899 6:00:00 PM,Not Applicable/Non applicable,12/31/1899 8:30:00 AM,12/31/1899 6:00:00 PM,Not Applicable/Non applicable,Not Applicable/Non applicable,Not Applicable/Non applicable,Not Applicable/Non applicable,311,-75.47797394,45.45321274,OTTAWA,y,n,42
-75.68966675,45.41575241,-8425735,5687212,102100,RECREATION,Jack Purcell Community Centre,Centre communautaire Jack-Purcell,320 JACK PURCELL LANE,"320, RLE. JACK PURCELL",Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,12/31/1899 9:00:00 PM,12/31/1899 8:00:00 PM,Not Applicable/Non applicable,12/31/1899 7:30:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 7:30:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 7:30:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 7:30:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 7:30:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 8:30:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,311,-75.68966675,45.41575241,OTTAWA,y,n,43
-75.6867218,45.43066025,-8425407,5689577,102100,RECREATION,Champagne Bath Pool,Piscine Bain Champagne,321 KING EDWARD AVE,"321, AV. KING EDWARD",Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 4:00:00 PM,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 8:00:00 PM,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 8:00:00 PM,Not Applicable/Non applicable,12/31/1899 6:30:00 AM,12/31/1899 8:00:00 PM,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 7:00:00 PM,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 4:00:00 PM,Not Applicable/Non applicable,311,-75.6867218,45.43066025,OTTAWA,y,n,44
-75.59750366,45.3311882,-8415476,5673812,102100,RECREATION,Fred G. Barrett Arena,Ar‚na Fred- G.- Barrett,3280 LEITRIM RD,"3280, CH. LEITRIM",Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,12/31/1899 6:30:00 AM,12/31/1899 10:00:00 PM,Closed May-Sept. unless booked,12/31/1899 6:30:00 AM,12/31/1899 11:00:00 PM,May-Sept closed at 10 pm,12/31/1899 6:30:00 AM,12/31/1899 11:00:00 PM,May-Sept closed at 10 pm,12/31/1899 6:30:00 AM,12/31/1899 11:00:00 PM,May-Sept closed at 10 pm,12/31/1899 6:30:00 AM,12/31/1899 11:00:00 PM,May-Sept closed at 10 pm,12/31/1899 6:30:00 AM,12/31/1899 11:00:00 PM,May-Sept closed at 10 pm,12/31/1899 6:30:00 AM,12/31/1899 10:00:00 PM,Closed May-Sept unless booked,311,-75.59750366,45.3311882,OTTAWA,y,n,45
-75.65680695,45.42552948,-8422077,5688763,102100,RECREATION,Overbrook Community Centre,Centre Communautaire Overbrook,33 QUILL ST,"33, RUE QUILL",Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 7:00:00 PM,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 10:00:00 PM,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 10:00:00 PM,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 10:00:00 PM,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 10:00:00 PM,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 10:00:00 AM,Not Applicable/Non applicable,12/31/1899 9:00:00 AM,12/31/1899 8:00:00 PM,Not Applicable/Non applicable,311,-75.65680695,45.42552948,OTTAWA,y,n,46
-75.67281342,45.35214996,-8423859,5677131,102100,RECREATION,Hunt Club Riverside CC,Centre communautaire Hunt Club Riverside,3320 PAUL ANKA DR,"3320, PROM. PAUL ANKA",Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,12/31/1899 8:30:00 AM,12/31/1899 5:00:00 PM,Not Applicable/Non applicable,12/31/1899 7:00:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 7:00:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 7:00:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 7:00:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 7:00:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 8:30:00 AM,12/31/1899 5:00:00 PM,Not Applicable/Non applicable,311,-75.67281342,45.35214996,OTTAWA,y,n,47
-75.63633728,45.34972763,-8419798,5676748,102100,RECREATION,Sawmill Creek Pool and Community Centre,Piscine et centre communautaire Sawmill Creek,3380 D'AOUST AVE,"3380, AV. D'AOUST",Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,12/31/1899 8:30:00 AM,12/31/1899 3:00:00 PM,Not Applicable/Non applicable,12/31/1899 8:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 7:00:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 8:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 7:00:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 8:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 8:30:00 AM,12/31/1899 3:00:00 PM,Not Applicable/Non applicable,311,-75.63633728,45.34972763,OTTAWA,y,n,48
